,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES
1839,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.20086758,0
1840,10.3,8.5,8.5,0.0,0.0,3,0,0,AB,DFO,0,0,300,0.655347032,0
1841,11.4,11.4,11.4,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.334454859,1
1842,4.0,4.0,4.0,0.0,0.0,1,0,0,LFG,NOT AVAILABLE,0,0,0,0.80722032,0
1843,29.7,29.7,29.7,0.0,9.9,9,0,3,WAT,NOT AVAILABLE,0,0,0,0.00639577,0
1844,5.0,5.0,5.0,0.0,0.0,10,0,0,SUN,NOT AVAILABLE,0,0,0,0.171712329,0
1845,1.5,1.5,1.5,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.055175038,0
1846,358.9,282.0,293.0,0.0,0.0,8,0,0,NG,NOT AVAILABLE,0,2841990,0,0.140092,0
1847,3.2,3.2,3.2,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.158390411,0
1848,28.0,30.0,30.0,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.292355403,1
1849,5.2,5.2,5.2,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.259395855,0
1850,4.3,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1851,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.210068493,0
1852,5.0,5.0,5.0,0.0,0.0,5,0,0,SUN,NOT AVAILABLE,0,0,0,0.194840183,0
1853,1734.0,1483.0,1483.0,0.0,0.0,6,0,0,NG,NONE,0,44805339,0,0.45228234,1
1854,1.7,1.7,1.7,0.0,0.0,3,0,0,DFO,NOT AVAILABLE,0,0,16,0.001880204,0
1855,0.0,0.0,0.0,0.0,1.3,0,0,1,NG,NOT AVAILABLE,0,0,0,0.0,1
1856,144.0,98.7,110.6,0.0,0.0,3,0,0,NG,OG,0,4925097,0,0.782834381,1
1857,1.0,0.8,0.5,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.156107306,0
1858,30.0,30.0,30.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.22446347,0
1859,0.0,0.0,0.0,4.9,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1860,5.5,5.2,6.1,0.0,0.0,1,0,0,NG,DFO,0,736021,247,1.020295486,0
1861,596.6,514.0,532.0,0.0,0.0,3,0,0,NG,NOT AVAILABLE,0,19917258,0,0.635899161,1
1862,7.5,7.0,7.6,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.41409002,0
1863,25.0,20.5,29.4,0.0,0.0,1,0,0,DFO,NOT AVAILABLE,0,0,921,0.001954561,1
