,temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
37,1.92,73,1034.2,0.0,0.0,0.0,0,0,0,0.0,15.48,178.67,31.7,178.05,21.25,178.06,22.32,59.11072,83.218833,127.75963
38,1.51,80,1035.2,0.0,0.0,0.0,0,0,0,1.78,15.86,177.4,32.47,176.19,22.73,176.37,21.96,45.676492,75.034084,139.09168
39,4.38,76,1034.8,0.0,0.0,0.0,0,0,0,106.8,15.5,177.34,29.63,175.12,20.21,175.91,15.84,33.017211,68.62586,151.96007
40,7.8,67,1032.8,0.0,0.0,0.0,0,0,0,255.43,16.24,176.19,20.91,177.04,18.03,176.57,10.44,22.630859,64.583818,166.3621
41,10.07,58,1031.7,0.0,0.0,0.0,0,0,0,372.91,14.47,174.29,17.02,173.93,15.23,173.21,9.0,18.782814,63.395723,181.67644
42,12.65,38,1028.0,0.0,0.0,0.0,0,0,0,440.55,4.69,147.53,5.4,143.13,5.4,143.13,3.96,24.520556,65.22152,196.87383
43,13.28,39,1027.2,0.0,0.0,0.0,0,0,0,462.8,4.83,116.57,5.8,119.74,5.5,121.61,6.12,35.647353,69.819392,210.98459
44,13.36,42,1027.2,0.0,0.0,0.0,0,0,0,431.65,5.35,109.65,6.92,117.9,6.44,116.57,7.92,48.566224,76.669341,223.52814
45,12.68,49,1027.5,0.0,0.0,0.0,0,0,0,350.66,5.69,124.7,7.15,130.91,6.64,130.6,9.36,61.921788,85.035625,234.45328
46,0.62,45,1031.7,0.0,0.0,0.0,0,0,0,0.0,7.7,217.41,5.24,285.95,9.45,220.36,6.12,59.194427,83.19827,127.6062
47,0.82,44,1031.9,0.0,0.0,4.0,0,4,0,1.78,7.65,228.81,7.17,287.53,11.48,221.19,11.16,45.760553,75.002668,138.9187
48,3.32,45,1032.3,0.0,0.0,44.0,0,44,0,113.92,5.19,236.31,9.39,302.47,6.11,225.0,10.08,33.020593,68.547439,151.84501
49,7.06,47,1030.9,0.0,0.0,15.0,0,15,0,264.33,3.32,319.4,7.39,316.97,2.62,344.05,7.92,22.599143,64.49038,166.22665
50,9.36,34,1029.1,0.0,0.0,39.0,0,39,0,378.25,7.73,332.24,8.85,333.43,7.75,338.2,9.0,18.662127,63.277688,181.56566
51,8.86,41,1026.8,0.0,0.0,0.0,0,0,0,447.67,10.08,360.0,10.46,3.95,9.78,6.34,11.88,24.367718,65.0847,196.79534
52,9.23,42,1027.1,0.0,0.0,0.0,0,0,0,469.03,10.5,5.91,10.54,7.85,10.24,10.12,12.6,35.504891,69.671158,210.93869
53,9.21,44,1027.0,0.0,0.0,0.0,0,0,0,436.99,10.95,9.46,11.01,11.31,10.31,12.09,12.6,48.438368,76.516256,223.50976
54,8.64,48,1027.0,0.0,0.0,0.0,0,0,0,356.0,9.53,10.89,9.61,12.99,9.26,13.5,11.52,61.810516,84.886424,234.45592
55,-2.0,99,1036.6,0.0,0.0,0.0,0,0,0,0.0,7.65,221.19,3.62,95.71,8.4,226.74,10.08,59.16669,83.099158,127.53295
56,-1.77,92,1037.0,0.0,0.0,0.0,0,0,0,1.78,9.18,228.18,2.28,198.43,10.09,235.18,3.24,45.82124,74.953937,138.7627
57,0.78,81,1037.1,0.0,0.0,0.0,0,0,0,107.69,6.92,231.34,3.83,228.81,6.44,243.43,1.8,32.972619,68.437019,151.77289
58,4.01,70,1036.3,0.0,0.0,0.0,0,0,0,255.43,4.02,243.43,3.55,246.04,4.55,251.57,6.48,22.528242,64.378984,166.15308
59,6.32,62,1035.1,0.0,0.0,0.0,0,0,0,373.8,1.3,326.31,1.14,341.57,1.61,333.43,4.32,18.53492,63.15247,181.45661
60,8.03,45,1030.6,0.0,0.0,0.0,0,0,0,449.45,6.19,35.54,6.41,38.16,6.13,40.24,8.64,24.210671,64.941199,196.72028
61,8.93,42,1030.1,0.0,0.0,0.0,0,0,0,473.48,8.37,25.46,8.53,27.65,8.05,26.57,9.72,35.360702,69.516981,210.89752
62,9.11,43,1030.5,0.0,0.0,0.0,0,0,0,443.22,10.59,17.82,10.59,17.82,10.14,16.5,10.08,48.310286,76.358042,223.49696
63,8.46,47,1030.6,0.0,0.0,0.0,0,0,0,363.12,10.37,20.32,10.7,19.65,10.37,20.32,9.72,61.69987,84.732679,234.46465
64,-0.48,56,1041.5,0.0,0.0,0.0,0,0,0,0.0,7.9,226.85,7.15,229.09,7.7,232.59,7.56,59.354669,83.137905,127.28859
65,-0.38,49,1042.1,0.0,0.0,0.0,0,0,0,2.67,7.9,226.85,7.73,242.24,8.05,243.43,7.92,45.878645,74.898324,138.60401
66,1.6,43,1042.8,0.0,0.0,0.0,0,0,0,111.25,6.99,214.51,7.29,237.09,6.99,235.49,4.68,34.916885,69.198913,149.40834
67,1.52,38,1046.8,0.0,0.0,0.0,0,0,0,0.0,10.32,209.25,15.99,187.77,15.55,174.69,11.52,59.459979,83.117524,127.1029
68,2.2,34,1046.6,0.0,0.0,0.0,0,0,0,1.78,10.5,202.17,18.72,180.0,21.22,165.26,12.6,45.932756,74.835838,138.4427
69,4.7,34,1046.6,0.0,0.0,0.0,0,0,0,105.91,10.48,195.95,18.72,181.1,22.73,169.05,15.12,33.116754,68.315482,151.3552
70,8.01,38,1045.1,0.0,0.0,0.0,0,0,0,253.65,7.57,182.73,11.89,178.26,20.72,162.82,9.72,22.469629,64.166111,165.8201
71,10.59,33,1044.0,0.0,0.0,0.0,0,0,0,372.91,5.96,154.98,7.9,155.77,8.05,153.43,7.56,18.261132,62.88069,181.24394
72,12.3,48,1042.4,0.0,0.0,0.0,0,0,0,453.9,9.45,17.74,10.46,26.57,10.95,27.41,14.04,23.884365,64.634418,196.58075
73,12.29,50,1042.1,0.0,0.0,0.0,0,0,0,477.04,11.17,20.77,11.97,21.16,12.1,22.75,15.48,35.067678,69.191119,210.82967
74,12.0,52,1042.2,0.0,0.0,0.0,0,0,0,447.67,11.38,18.43,12.1,22.75,12.25,24.3,14.4,48.057721,76.028957,223.49136
75,11.88,52,1041.9,0.0,0.0,0.0,0,0,0,367.57,10.16,22.93,11.27,26.57,11.44,28.18,13.32,61.594298,84.485894,234.58905
76,3.45,26,1042.3,0.0,0.0,0.0,0,0,0,0.0,10.23,230.71,13.68,270.0,13.68,268.49,12.96,59.505047,83.05182,126.95723
77,3.47,31,1041.4,0.0,0.0,0.0,0,0,0,2.67,8.71,231.71,10.14,286.5,10.7,289.65,14.4,45.983564,74.76649,138.27885
78,6.18,41,1041.2,0.0,0.0,0.0,0,0,0,111.25,5.69,251.57,11.11,294.9,11.75,297.35,9.0,33.120046,68.216158,151.215
79,9.49,40,1040.0,0.0,0.0,0.0,0,0,0,263.44,2.62,285.95,10.7,312.27,11.46,313.73,6.12,22.415204,64.043501,165.68476
80,12.46,36,1038.8,0.0,0.0,0.0,0,0,0,384.48,3.4,327.99,5.32,331.7,5.32,331.7,6.12,18.108999,62.732777,181.05875
81,14.32,27,1032.5,0.0,0.0,0.0,0,0,0,462.8,6.88,276.01,7.59,275.44,6.88,276.01,7.92,23.715326,64.47128,196.51641
82,15.06,26,1034.2,0.0,0.0,0.0,0,0,0,487.72,7.1,329.53,8.21,322.13,7.99,324.16,6.48,34.919123,69.0196,210.80309
83,14.87,26,1033.3,0.0,0.0,0.0,0,0,0,456.57,14.04,358.53,16.22,357.46,15.48,358.67,13.68,47.925942,75.853518,223.49251
84,13.49,33,1034.9,0.0,0.0,0.0,0,0,0,374.69,9.03,355.43,10.08,360.0,9.73,2.12,11.16,61.372756,84.245064,234.52776
85,0.83,78,1035.4,0.0,0.0,0.0,0,0,0,0.0,7.59,275.44,12.82,321.84,10.66,281.69,14.76,59.576432,82.999117,126.78663
86,1.42,81,1034.2,0.0,0.0,76.0,0,76,0,2.67,7.07,284.74,14.11,322.25,9.78,276.34,15.12,46.031062,74.690298,138.11256
87,5.24,71,1033.7,0.0,0.0,43.0,0,43,0,113.03,6.99,348.11,17.11,351.53,9.5,335.38,14.76,33.140946,68.117352,151.04407
88,7.68,68,1035.0,0.0,0.0,23.0,0,23,0,262.55,12.24,360.0,13.34,3.09,12.61,1.64,16.2,22.385128,63.923728,165.50514
89,8.16,68,1033.3,0.0,0.0,2.0,0,0,2,375.58,15.28,15.02,16.33,14.04,15.19,13.71,20.88,17.952533,62.578322,181.16953
90,8.66,67,1033.3,0.0,0.0,57.0,0,57,10,450.34,20.43,14.28,22.35,14.93,20.87,15.0,23.4,23.542523,64.301741,196.45579
91,8.87,71,1034.2,0.0,0.0,34.0,0,34,3,468.14,18.89,7.67,20.01,8.28,18.94,8.75,22.68,34.769401,68.842473,210.7815
92,9.01,70,1033.6,0.0,0.0,1.0,0,1,0,441.44,12.68,6.52,13.08,7.91,12.73,8.13,14.4,47.798229,75.675693,223.50249
93,9.08,69,1031.9,0.0,0.0,0.0,0,0,0,365.79,15.28,15.02,16.33,14.04,14.84,14.04,16.56,61.265693,84.074051,234.56117
94,-0.13,93,1036.2,0.0,0.0,0.0,0,0,0,0.0,15.23,186.79,32.5,175.55,21.99,182.82,24.84,59.64523,82.939972,126.61287
95,-0.2,94,1036.6,0.0,0.0,0.0,0,0,0,2.67,18.09,185.71,34.99,176.46,23.8,183.47,25.56,46.075248,74.60728,137.9439
96,2.91,84,1036.0,0.0,0.0,0.0,0,0,0,107.69,19.08,180.0,29.22,176.47,23.41,178.24,24.84,33.146766,68.007658,150.8866
97,5.95,73,1034.2,0.0,0.0,0.0,0,0,0,255.43,21.25,178.06,27.4,176.99,23.42,177.36,21.6,22.289876,63.776773,165.41479
98,8.24,64,1032.7,0.0,0.0,0.0,0,0,0,374.69,20.28,173.88,24.61,174.12,21.75,173.35,19.8,17.800296,62.419861,181.04397
99,10.28,44,1029.3,0.0,0.0,0.0,0,0,0,457.46,13.98,168.11,16.1,169.7,14.26,169.82,9.72,23.366081,64.125882,196.39896
100,10.75,45,1029.1,0.0,0.0,0.0,0,0,0,480.6,16.74,161.18,19.59,162.9,17.08,161.57,14.4,34.618664,68.659827,210.76496
101,10.63,44,1028.7,0.0,0.0,0.0,0,0,0,450.34,21.31,164.32,25.23,165.96,20.87,165.0,18.72,47.670941,75.493205,223.51827
102,9.72,48,1029.1,0.0,0.0,0.0,0,0,0,371.13,22.1,167.77,26.83,168.39,21.67,168.5,20.88,61.159809,83.898968,234.60081
103,-0.97,67,1029.2,0.0,0.0,0.0,0,0,0,0.0,13.32,218.42,24.97,245.28,15.78,214.78,28.08,59.711404,82.874387,126.43606
104,-1.12,73,1030.2,0.0,0.0,0.0,0,0,0,2.67,14.51,223.99,26.21,249.08,15.58,220.31,27.36,46.116121,74.517462,137.77297
105,2.55,63,1029.0,0.0,0.0,0.0,0,0,0,110.36,12.31,232.13,25.28,252.6,10.69,225.0,31.32,33.148459,67.890934,150.72797
106,7.45,52,1026.1,0.0,0.0,0.0,0,0,0,260.77,12.56,242.7,17.32,249.3,10.38,236.31,24.12,22.219137,63.632764,165.2803
107,10.78,38,1024.3,0.0,0.0,0.0,0,0,0,380.03,21.32,258.31,26.41,259.0,21.05,257.15,32.04,17.637551,62.253394,180.84246
108,12.61,31,1023.7,0.0,0.0,0.0,0,0,0,453.01,22.31,259.78,26.05,258.85,22.38,258.87,32.76,23.18615,63.943789,196.34598
109,12.67,32,1023.2,0.0,0.0,0.0,0,0,0,477.04,22.7,255.3,26.9,254.48,22.8,254.43,32.76,34.467074,68.471763,210.75351
110,12.57,34,1022.4,0.0,0.0,35.0,2,35,0,452.12,21.22,255.26,25.42,254.39,21.66,254.58,31.68,47.544217,75.306158,223.53989
111,12.09,37,1022.3,0.0,0.0,95.0,26,95,0,373.8,21.54,260.38,25.7,258.69,21.32,258.31,31.32,61.055217,83.719925,234.64669
112,3.69,97,1027.4,0.1,0.0,100.0,0,0,100,0.0,10.44,313.6,16.8,315.0,12.23,312.61,15.84,59.774919,82.802362,126.25627
113,3.03,98,1027.7,0.1,0.0,100.0,0,0,100,2.67,7.79,303.69,12.39,305.54,6.99,304.51,21.6,46.153679,74.420858,137.59984
114,4.92,82,1027.1,0.0,0.0,100.0,0,0,100,108.58,5.8,299.74,6.29,293.63,4.83,296.57,19.44,33.14606,67.767205,150.56824
115,5.93,76,1027.6,0.0,0.0,40.0,0,0,40,258.1,3.32,282.53,3.26,276.34,2.9,277.13,18.0,22.143084,63.481713,165.14625
116,7.28,69,1026.3,0.0,0.0,47.0,0,0,47,381.81,2.6,236.31,2.81,230.19,2.55,225.0,16.2,17.466135,62.079493,180.74748
117,9.45,65,1025.4,0.0,0.0,4.0,0,0,4,457.46,3.98,354.81,3.67,348.69,3.62,354.29,14.04,23.002835,63.755529,196.29693
118,10.17,62,1024.3,0.0,0.0,29.0,0,0,29,412.07,2.55,315.0,3.4,302.01,2.81,309.81,13.68,34.314784,68.278362,210.74723
119,10.88,58,1023.6,0.0,0.0,10.0,0,0,10,355.11,5.41,266.19,6.13,266.63,5.41,266.19,15.84,47.393687,75.101325,223.54443
