,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
1566,2.0,2.2,2.2,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,692185,0,0.662826899,0,12774.0
1567,1.4,1.4,1.4,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.369047619,0,4526.0
1568,2.5,2.5,2.5,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.059178082,1,1296.0
1569,8.7,8.3,8.3,0.0,4.8,4,0,3,WAT,AB,0,0,0,0.586084062,0,42613.0
1570,1.8,1.8,1.8,0.0,0.0,4,0,0,NG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1571,14.0,11.6,11.6,0.0,26.0,3,0,1,NG,WH,0,0,0,0.0,0,0.0
1572,0.0,0.0,0.0,0.0,1.4,0,0,2,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1573,0.0,0.0,0.0,0.0,0.7,0,0,1,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1574,0.0,0.0,0.0,0.0,4.2,0,0,6,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1575,4.3,4.3,4.3,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.48946055,0,18437.0
1576,4.6,4.6,4.6,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.409321024,0,16494.0
1577,39.6,39.4,37.9,0.0,0.0,12,0,0,NG,DFO,0,2066720,406,0.231696448,0,79968.639
1578,39.5,32.7,38.5,0.0,0.0,6,0,0,NG,DFO,0,2840374,1620,0.811287748,1,232394.998
1579,3.5,3.4,3.4,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.288913511,1,8605.0
1580,152.0,120.2,136.2,0.0,0.0,3,0,0,NG,NOT AVAILABLE,0,475328,0,0.053148672,0,55963.0
1581,7.6,7.0,7.0,0.0,0.0,2,0,0,NG,NOT AVAILABLE,0,1147340,0,0.829207436,1,50847.0
1582,31.0,25.6,29.5,0.0,0.0,9,0,0,SUB,DFO,184668,0,368,0.325806221,0,73064.0
1583,39.0,35.1,36.1,0.0,0.0,9,0,0,NG,BLQ,0,898433,0,0.54152194,1,166505.0
1584,103.6,85.0,85.0,0.0,5.9,5,0,1,BIT,BLQ,80933,2977032,7153,0.552079645,1,411078.504
1585,154.0,153.9,154.0,0.0,52.5,2,0,5,BLQ,NG,0,5249335,0,0.478661347,1,645313.996
1586,107.1,99.8,99.8,0.0,0.0,2,0,0,BLQ,NG,0,1504311,46832,0.60221699,0,526486.999
